LAPORAN LAPORAN ANGGOTA;;;;;
;;;;;
no_anggota;nama;fraksi;dapil;jenis_kelamin;
209;SHINTYA SANDRA KUSUMA, S.Hub.Int., M.A.B.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TENGAH IX;P;
210;DEDE INDRA PERMANA SOEDIRO, S.H.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TENGAH X;L;
211;MY ESTI WIJAYATI;Fraksi Partai Demokrasi Indonesia Perjuangan;DAERAH ISTIMEWA YOGYAKARTA;P;
212;GM TOTOK HEDI SANTOSA;Fraksi Partai Demokrasi Indonesia Perjuangan;DAERAH ISTIMEWA YOGYAKARTA;L;
213;PUTI GUNTUR SOEKARNO, S.IP.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TIMUR I;P;
214;INDAH KURNIAWATI, S.E., M.M.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TIMUR I;P;
215;dr. H. MUFTI AIMAH NURUL ANAM;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TIMUR II;L;
216;SONNY T. DANAPARAMITA, S.H.,M.H;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TIMUR III;L;
217;INA AMMANIA;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TIMUR III;P;
218;ARIF WIBOWO;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TIMUR IV;L;
219;Dr. AHMAD BASARAH;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TIMUR V;L;
220;Ir. ANDREAS EDDY SUSETYO, M.M.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TIMUR V;L;
221;PULUNG AGUSTANTO;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TIMUR VI;L;
222;ROMY SOEKARNO, S.H.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TIMUR VI;L;
223;NOVITA HARDINI, S.E.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TIMUR VII;P;
224;Ir. BUDI S. KANANG;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TIMUR VII;L;
